Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0984933879187387,0.0524164095634679,0.139538868480493,0,0,0,42.437819295697,0.793248965062798,-0.0438841068170687,0.12082958397428,2.9050823428007,0.00250976744462378,3.47432493664263,0,0,0,0,0,0,package://new_car_assembly_export/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/base_link.STL,,carchassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_left_wheel_link,2.20710116849432E-11,2.36282771126639E-10,0.0494452643769656,0,0,0,0.92951595082452,0.00334561969767302,-1.35440590458226E-12,-4.94375218117616E-13,0.00334561968353542,-5.13247204339626E-12,0.00569925253419484,0,0,0,0,0,0,package://new_car_assembly_export/meshes/back_left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/back_left_wheel_link.STL,,carwheel-4,Origin_back_left_wheel_joint,Axis_back_left_wheel_joint,back_left_wheel_joint,continuous,0.328921249974496,-0.114964083839878,-0.0177944693206667,-1.5707963267949,0.469083696110007,-3.12082450627461,base_link,0,0,1,,,,,,,,,,,,
back_right_wheel_link,2.20231055614306E-11,2.37201022712519E-10,0.049028557176643,0,0,0,0.929515950065346,0.00334561969632988,-1.3558820863918E-12,-4.94323406806298E-13,0.0033456196821762,-5.15615432565997E-12,0.00569925253212831,0,0,0,0,0,0,package://new_car_assembly_export/meshes/back_right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/back_right_wheel_link.STL,,carwheel-2,Origin_back_right_wheel_joint,Axis_back_right_wheel_joint,back_right_wheel_joint,continuous,0.32176,0.22964,-0.017794,1.5708,-0.29161,-3.1208,base_link,0,0,1,,,,,,,,,,,,
front_left_steer_link,1.66547595339406E-05,0.0339902371024883,0.00881686935201456,0,0,0,0.979289581300228,0.00377322325335636,8.43295143974749E-07,-9.37539386378886E-07,0.00118944602853968,0.000447122954117804,0.00324735803538192,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_left_steer_link.STL,1,1,1,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_left_steer_link.STL,,frontwheelaxis-1,Origin_front_left_steer_joint,Axis_front_left_steer_joint,front_left_steer_joint,revolute,-0.179708588418403,-0.0899166088816682,0,1.5707963267949,0,0.0940442461119153,base_link,0,1,0,100,3.14,-0.785,0.785,,,,,,,,
front_left_wheel_link,-2.14738671289183E-10,-1.01100960936407E-10,0.0703981423141871,0,0,0,0.929515950960186,0.00334561968624407,-5.53230372669515E-12,4.6719790579644E-12,0.00334561969544727,2.18302884992007E-12,0.00569925253456414,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_left_wheel_link.STL,,carwheel-1,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0.000125211657348218,-0.0177944693206653,0.014651735605834,0,0,-2.49079241735017,front_left_steer_link,0,0,1,,,,,,,,,,,,
front_right_steer_link,0.000499399069158218,0.0339902366670281,0.0088027301319186,0,0,0,0.979289573985709,0.00377154409782337,2.53243838631569E-05,-2.96825918414848E-05,0.00118944602905323,0.000446406025058732,0.00324903714128756,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_right_steer_link.STL,1,1,1,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_right_steer_link.STL,,frontwheelaxis-2,Origin_front_right_steer_joint,Axis_front_right_steer_joint,front_right_steer_joint,revolute,-0.18538,0.18307,0,1.5708,0,3.1208,base_link,0,1,0,100,3.14,-0.785,0.785,,,,,,,,
front_right_wheel_link,0.00423078348638281,0.00194568340806663,0.0436154795188722,0,0,0,0.929515950960185,0.00335144432289555,2.67867175629422E-06,0.000116909908940042,0.00334685157075126,5.37653893864981E-05,0.00569219602260868,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://new_car_assembly_export/meshes/front_right_wheel_link.STL,,carwheel-3,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0.000125211657348301,-0.0177944693206666,0.0412999511488255,0,0,-0.431045729807837,front_right_steer_link,0,0,1,,,,,,,,,,,,
