Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.098493,0.13954,-0.052416,0,0,0,43.287,0.80911,0.12325,0.044762,3.5438,-0.00256,2.9632,0,0,0,0,0,0,package://car_assembly/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_assembly/meshes/base_link.STL,,carchassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_right_wheel_link,2.191E-11,2.3697E-10,0.047994,0,0,0,0.92952,0.0033456,-1.3555E-12,-4.9134E-13,0.0033456,-5.1504E-12,0.0056993,0,0,0,0,0,0,package://car_assembly/meshes/back_right_wheel_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://car_assembly/meshes/back_right_wheel_link.STL,,carwheel-2,Origin_back_right_wheel_joint,Axis_back_right_wheel_joint,back_right_wheel_joint,continuous,0.32174,0.23067,-0.017794,1.5708,0,-3.1208,base_link,0,0,1,,,,,,,,,,,,
back_left_wheel_link,2.207E-11,2.3632E-10,0.048524,0,0,0,0.92952,0.0033456,-1.3541E-12,-4.9445E-13,0.0033456,-5.1331E-12,0.0056993,0,0,0,0,0,0,package://car_assembly/meshes/back_left_wheel_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://car_assembly/meshes/back_left_wheel_link.STL,,carwheel-4,Origin_back_left_wheel_joint,Axis_back_left_wheel_joint,back_left_wheel_joint,continuous,0.32894,-0.11589,-0.017794,-1.5708,1.4356,-3.1208,base_link,0,0,1,,,,,,,,,,,,
front_right_steer_link,1.6654E-05,0.03399,0.0088169,0,0,0,0.99888,0.0038487,8.602E-07,-9.5628E-07,0.0012132,0.00045607,0.0033123,0,0,0,0,0,0,package://car_assembly/meshes/front_right_steer_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_assembly/meshes/front_right_steer_link.STL,,frontwheelaxis-2,Origin_front_right_steer_joint,Axis_front_right_steer_joint,front_right_steer_joint,continuous,-0.18538,0.18307,0,1.5708,0,-3.1208,base_link,0,1,0,,,,,,,,,,,,
front_right_wheel_link,2.207E-11,2.3632E-10,0.049174,0,0,0,0.92952,0.0033456,-1.3541E-12,-4.9445E-13,0.0033456,-5.1331E-12,0.0056993,0,0,0,0,0,0,package://car_assembly/meshes/front_right_wheel_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://car_assembly/meshes/front_right_wheel_link.STL,,carwheel-3,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0.00012521,-0.017794,0.035876,0,0,-0.34569,front_right_steer_link,0,0,1,,,,,,,,,,,,
front_left_steer_link,1.6654E-05,0.03399,0.0088169,0,0,0,0.99888,0.0038487,8.602E-07,-9.5628E-07,0.0012132,0.00045607,0.0033123,0,0,0,0,0,0,package://car_assembly/meshes/front_left_steer_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_assembly/meshes/front_left_steer_link.STL,,frontwheelaxis-1,Origin_front_left_steer_joint,Axis_front_left_steer_joint,front_left_steer_joint,continuous,-0.17971,-0.089917,0,1.5708,0,0.020768,base_link,0,1,0,,,,,,,,,,,,
front_left_wheel_link,2.207E-11,2.3632E-10,0.049539,0,0,0,0.92952,0.0033456,-1.3541E-12,-4.9445E-13,0.0033456,-5.1331E-12,0.0056993,0,0,0,0,0,0,package://car_assembly/meshes/front_left_wheel_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://car_assembly/meshes/front_left_wheel_link.STL,,carwheel-1,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0.00012521,-0.017794,0.035511,0,0,1.0465,front_left_steer_link,0,0,1,,,,,,,,,,,,
